chemical	disease1	disease2
49033	32267	10
3562	32267	10
9159	32267	10
36059	40838	14
36059	13882	14
50720	10829	28
55852	32267	42
30085	32267	42
50662	32267	42
37881	32267	42
62835	32267	42
50587	32267	42
2528	32267	42
1173	32267	42
40577	32267	42
3562	32267	42
56147	32267	42
20557	32267	42
35568	32267	42
12498	32267	42
30122	32267	42
2335	32267	42
2528	28365	42
1173	28365	42
3562	28365	42
35568	28365	42
30122	28365	42
30085	62356	42
50662	62356	42
40577	62356	42
12498	62356	42
30122	62356	42
62835	26021	42
1173	26021	42
3562	26021	42
20557	26021	42
35568	26021	42
30122	26021	42
2528	12025	42
3562	12025	42
35568	12025	42
30122	12025	42
30085	43579	42
2528	43579	42
3562	43579	42
30122	26207	42
62835	16103	42
2528	16103	42
1173	16103	42
3562	16103	42
35568	16103	42
30122	16103	42
62835	8702	42
30122	8702	42
62835	23438	42
40577	23438	42
20557	23438	42
30122	23438	42
30085	46710	42
2528	46710	42
3562	46710	42
35568	46710	42
30122	46710	42
2335	46710	42
2528	50728	42
40577	50728	42
3562	50728	42
30122	50728	42
3562	29824	42
60548	32267	50
8772	5207	83
62548	32267	94
25127	32267	94
8772	32267	94
3562	32267	94
9406	32267	109
7699	18250	121
2481	58785	121
7699	31720	121
30631	31720	121
32643	31720	121
47645	31720	121
2518	12175	121
2481	12175	121
7699	5042	121
40064	5042	121
59679	5042	121
8772	26134	122
3562	26134	122
22762	49257	125
7288	49257	125
55376	40410	125
57800	15992	125
24035	15992	125
22762	15992	125
55376	52056	125
17182	6041	134
35568	2516	142
3562	2516	142
3562	32267	147
8772	36069	164
8772	11501	164
8772	32267	164
4135	44591	167
30418	32267	167
16741	32267	167
28676	32267	167
16741	39223	167
4135	39223	167
28676	39223	167
24102	39223	167
16741	47778	167
28676	47778	167
16741	50632	167
16741	58402	167
4135	58402	167
24102	58402	167
3562	62538	225
28006	62538	225
40227	62538	225
30122	62538	225
35568	62538	225
3562	26021	225
30122	26021	225
35568	26021	225
3562	8321	225
51246	8321	225
30122	8321	225
110	8321	225
59504	8321	225
35568	8321	225
3562	7472	225
52313	7472	225
30122	7472	225
35568	7472	225
3562	36069	225
51246	36069	225
40524	36069	225
48921	36069	225
28006	36069	225
40227	36069	225
30122	36069	225
59504	36069	225
35568	36069	225
47803	36069	225
51246	53839	225
3562	58240	225
52313	58240	225
28006	58240	225
35568	58240	225
3562	49611	225
23839	49611	225
40227	49611	225
30122	49611	225
35568	49611	225
23839	45425	225
30122	45425	225
35568	45425	225
54829	32267	239
58380	18182	256
3562	18182	256
2098	32267	256
8772	32267	256
58380	32267	256
30209	32267	256
55358	32267	256
3562	32267	256
20315	32267	256
8772	36069	256
58380	36069	256
30209	36069	256
55358	36069	256
3562	36069	256
20315	36069	256
59297	32267	258
16138	32267	258
60747	32267	258
29661	32267	258
30209	32267	258
28934	32267	258
16138	49334	258
29661	49334	258
59297	9907	258
16138	9907	258
60747	9907	258
29661	9907	258
16138	28868	258
60747	28868	258
29661	28868	258
30209	28868	258
30209	62302	258
46880	20207	266
35568	29333	266
55702	29333	266
6977	50368	266
3562	14011	266
50702	14011	266
6977	14011	266
2384	15832	266
3562	15832	266
24216	15832	266
50702	15832	266
46880	15832	266
35568	21089	266
21559	21089	266
3562	21089	266
30122	21089	266
45969	21089	266
33249	21089	266
6266	21089	266
48845	14771	266
55658	37653	266
35568	37653	266
58790	37653	266
3562	37653	266
55702	37653	266
30122	37653	266
33249	37653	266
54614	37653	266
24216	37653	266
50522	37653	266
13534	37653	266
55658	20337	266
46880	20337	266
62365	44322	266
21559	44322	266
3562	44322	266
45969	44322	266
6266	44322	266
28305	44322	266
30122	19710	266
6266	19710	266
6977	19710	266
55658	49513	266
35568	49513	266
58790	49513	266
3562	49513	266
30122	49513	266
45969	49513	266
33249	49513	266
50702	49513	266
50522	49513	266
45193	49513	266
31067	49513	266
13534	56266	266
55658	32267	266
35568	32267	266
58790	32267	266
2384	32267	266
62365	32267	266
21559	32267	266
48845	32267	266
3562	32267	266
33074	32267	266
55702	32267	266
30122	32267	266
45969	32267	266
53288	32267	266
54614	32267	266
24216	32267	266
50702	32267	266
6266	32267	266
46880	32267	266
50522	32267	266
13534	32267	266
6977	32267	266
31067	32267	266
48845	53587	266
50702	53587	266
50522	53587	266
13534	53587	266
3562	58118	266
30122	58118	266
45193	58118	266
43505	11606	282
18619	45175	282
43505	45175	282
41978	62445	282
10473	62445	282
41978	38389	282
46175	38389	282
50522	38389	282
18619	38389	282
8772	57574	291
8772	5714	291
8772	30905	291
16138	39387	291
8772	39387	291
59374	39387	291
14439	39387	291
14439	44296	303
30222	28018	303
59374	5310	303
9954	5310	303
41003	5310	303
10501	56475	303
34615	56475	303
3562	56475	303
41003	56475	303
42062	32267	303
38162	32267	303
7889	32267	303
59374	32267	303
52567	32267	303
43168	32267	303
46642	32267	303
43059	32267	303
10501	32267	303
30222	32267	303
34770	32267	303
35996	32267	303
9406	32267	303
9954	32267	303
60154	32267	303
45826	32267	303
34615	32267	303
14439	32267	303
5044	32267	303
35568	32267	303
3562	32267	303
54510	32267	303
58103	32267	303
30122	32267	303
10960	32267	303
43435	32267	303
58854	32267	303
12931	32267	303
16156	32267	303
17057	32267	303
41003	32267	303
51392	32267	303
7912	32267	303
25737	32267	303
61059	32267	303
8772	32267	303
23442	32267	303
42062	9907	303
38162	9907	303
59374	9907	303
52567	9907	303
46642	9907	303
10501	9907	303
30222	9907	303
9954	9907	303
60154	9907	303
35568	9907	303
3562	9907	303
54510	9907	303
30122	9907	303
58854	9907	303
16156	9907	303
41003	9907	303
7912	9907	303
25737	9907	303
8772	9907	303
23442	9907	303
59374	14592	303
54510	14592	303
30122	14592	303
8772	14592	303
38162	30175	303
10501	30175	303
60154	30175	303
35568	30175	303
3562	30175	303
54510	30175	303
30122	30175	303
16156	30175	303
23442	30175	303
14439	28164	303
35568	28164	303
3562	28164	303
58103	28164	303
30122	28164	303
58854	28164	303
41003	28164	303
8772	28164	303
38162	32450	303
35568	32450	303
3562	32450	303
30122	32450	303
41003	32450	303
8772	32450	303
23442	32450	303
59374	29136	303
30222	29136	303
3562	29136	303
38162	42900	303
59374	42900	303
54510	42900	303
23442	42900	303
38162	2085	303
59374	2085	303
30222	2085	303
41003	2085	303
8772	2085	303
59374	12725	303
10501	12725	303
9406	12725	303
35568	12725	303
3562	12725	303
30122	12725	303
58854	12725	303
61059	12725	303
8772	12725	303
59374	15932	303
14439	15932	303
35568	15932	303
58103	15932	303
30122	15932	303
8772	15932	303
59374	3803	303
9406	3803	303
14439	3803	303
30122	3803	303
16156	3803	303
8772	3803	303
59374	38894	303
14439	38894	303
30122	38894	303
41003	38894	303
59374	32903	303
35568	32903	303
3562	32903	303
30122	32903	303
41003	32903	303
8772	32903	303
35996	20947	303
30122	20947	303
59374	51894	303
30122	27462	303
41003	27462	303
8772	27462	303
59317	16004	307
30386	16004	307
59317	14446	307
30386	14446	307
35568	32267	322
16138	32267	356
46579	32267	356
60747	32267	356
11728	33178	368
51231	54281	400
42518	54281	400
42518	56614	400
30122	32267	400
51231	32267	400
42518	32267	400
41157	32267	400
8772	32267	400
61665	32267	400
30122	18366	400
24636	7501	462
23616	32267	462
20085	32267	462
15202	32267	462
19834	32267	462
24636	32267	462
3562	32267	462
58380	32267	462
50093	32267	462
3562	59482	462
23616	9907	462
20085	9907	462
15202	9907	462
19834	9907	462
24636	9907	462
3562	9907	462
58380	9907	462
50093	9907	462
23616	32588	462
3562	32588	462
58380	32588	462
50093	32588	462
8772	32267	490
46821	43572	515
10501	43572	515
3562	32267	522
26750	32267	522
20776	40445	573
23143	58494	604
4479	58494	604
3562	44849	615
52194	44849	615
3562	35629	615
52194	35629	615
45596	56896	624
58380	62356	630
58380	32267	630
19517	58667	642
28735	32267	642
19517	32267	642
62789	32267	642
40422	32267	642
9128	20021	649
56453	32267	658
30868	32267	658
35568	14464	668
3562	48390	668
61176	48390	668
3562	32267	673
16156	6525	691
42062	43579	691
8772	43579	691
14439	43579	691
33510	9907	691
42062	9907	691
8772	9907	691
23616	9907	691
22375	9907	691
16156	9907	691
33510	55315	691
3357	55315	691
14749	55315	691
8772	55315	691
23616	55315	691
14439	55315	691
22375	55315	691
16156	55315	691
29074	33178	691
33510	33178	691
8772	33178	691
23616	33178	691
14439	33178	691
16156	33178	691
3562	56354	696
3562	32267	696
35568	23408	701
7870	23408	701
